;Darling Page;ova;3;1 CD;japones;espanol;HQ;MPEG-4;Shojo;AnimeSkyScraper;;6;darlingpage.jpg
;Cosplay Complex;ova;3;1 CD;japones;espanol;HQ;MPEG-4;;Jiseday no Fansub;;7;cosplaycomplex.jpg
;Inuyasha: Una triste historia de amor ~El inicio~;ova;1;1 CD;japones;espanol;HQ;MPEG-4;Shojo;;Rumiko Takahashi;6;inuyasha_ova.jpg
;Dragon Ball Z Gaiden El plan para destruir a los Saiyajins;ova;2;1 CD;japones;espanol;HQ;MPEG-4;Shonen;Anime-Element & Anime-Keys;Akira Toriyama;8;dbzgaiden.jpg
;Ruin Explorers;ova;4;2 CD;japones;espanol;HQ;MPEG-4;Magia;Frozen-Layer;;7;ruinexplorers.jpg
;Phantom The Animation ;ova;3;1 CD;japones;espanol;HQ;MPEG-4;Shonen;Mundo Anime ;;8;phantom.jpg
;Miyuki-chan in Wonderland & Miyuki-chan in Mirrorland;ova;2;300 MB;japones;ingles;LQ;MPEG;Shojo;;CLAMP;6;miyuki_chan.jpg
;Triangle Heart ~Sweet Songs Forever~;ova;4;1 CD;japones;espanol;HQ;MPEG-4;Shojo;Tai Rei;;8;triangle.jpg
;Suika;ova;3;1 CD;japones;espanol;HQ;MPEG-4;Hentai;YnF;;;suika.jpg
;Golden Boy;ova;6;3 CD;japones;espanol;HQ;MPEG-4;Ecchi;;;7;goldenboy.jpg
;Magic Knight Rayearth;ova;2;2 CD;japones;espanol;HQ;MPEG-4;Shojo;Forever Clamp ;CLAMP;8;rayearthova1.jpg
;Labyrinth of Flames;ova;2;1 CD;japones;ingles;HQ;MPEG-4;Ecchi;;;7;labyrinth.jpg
;Mahou Tsukai Tai ;ova;6;2 CD;japones;espanol;HQ;MPEG-4;Magia;Sugoi;;7;mahoutsukaitai.jpg
;Slayers Excellent ;ova;3;1 CD;japones;espanol;HQ;MPEG-4;Magia;;;;slayers_excellent.jpg
;Interstella 5555;ova;1;1 CD;japones;espanol/ingles;HQ;MPEG-4;Musica;TodoAnime;Daft Punk / Leiji Matsumoto;10;interstella.jpg
;Amazing Nurse Nanako;ova;6;2 CD;japones;espanol;HQ;MPEG-4;Ecchi;Mangalords;;7;amazing_nurse_nanako.jpg
;Video Girl Ai ;ova;6;2 CD;japones;espanol;HQ;MPEG-4;Shojo;Po5i;Masakazu Katsura;7;vgai.jpg
;.hack//GIFT;ova;1;200 MB;japones;espanol;HQ;MPEG-4;Todo Publico;Youkai;;;hack_gift.jpg
;Babel II;ova;4;1 CD;espanol;;HQ;MPEG-4;Shonen;;;;babel2do.jpg
;Futari H;ova;4;2 CD;japones;espanol;HQ;MPEG-4;Hentai;Youkai;;7;futari_h.jpg
;i   wish you where here (Zaion);ova;6;2 CD;japones;espanol;HQ;MPEG-4;Mecha;EOL;;6;iwhishuwherehere.jpg
;Happy World ;ova;3;1 CD;japones;espanol;HQ;MPEG-4;Shojo;Kamikaze no Gakkou ;;7;happyworld.jpg
;Mezzo Forte;ova;2;1 CD;japones;espanol;HQ;MPEG-4;Hentai;Avalon;;;mezzo_forte.jpg
;Green Green;ova;1;176 MB;japones;espanol;HQ;MPEG-4;Ecchi;TaiRei;;6;green_green.jpg
;Maze;ova;2;1 CD;japones;espanol;HQ;MPEG-4;Ecchi;Tatakae no Fansub;;6;maze_ova.jpg
;AMON: The Apocalypse of Devilman;ova;1;1 CD;japones;espanol;HQ;MPEG-4;Shonen;El lado oscuro ;Go Nagai;5;amon.jpg
;Puni Puni Poemi;ova;2;1 CD;japones;espanol;HQ;MPEG-4;Comedia;Gokuraku;Shinchiro Watanabe;10;punipunipoemi.jpg
;Leave it to chocola;ova;1;65 MB;japones;ingles;LQ;MPEG-4;Comedia;Gokuraku;;1;chocola.jpg
;Otaku no Video;ova;2;1 CD;japones;espanol;HQ;MPEG-4;Todo Publico;Otaku no Power ;Gainax;6;otakunovideo.jpg
;Love Hina Again ;ova;3;1 CD;japones;espanol;HQ;MPEG-4;Ecchi;Ishin-Anime Digital;Ken Akamatsu;8;lhagain.jpg
;Gunnm - Battle Angel Alita;ova;2;1 CD;japones;espanol;HQ;MPEG-4;Shonen;;;7;alita.jpg
;.hack//LIMINALITY;ova;4;2 CD;japones;espanol;HQ;MPEG-4;Shonen;Youkai;;7;hackliminality.jpg
;Ninja Resurrection (Jubei's Revenge & Hell Spawn);ova;2;300 MB;ingles;;HQ;MPEG-4;Shonen;SMR;Futaro Yamada;6;ninjares.jpg
;Read Or Die (R.O.D.) ;ova;3;2 CD;japones;espanol;HQ;MPEG-4;Todo Publico;Mangalords;Hideyuki Kurata;10;rod.jpg
;Kite;ova;1;200 MB;japones;espanol;HQ;MPEG-4;Shonen;Avalon;;7;kite.jpg
